awayTeam,awayScore,homeTeam,homeScore,homeWin
ANA,3,BUF,6,True
TBL,3,CGY,6,True
MIN,3,FLA,5,True
PHI,2,DET,1,False
SJS,3,CBJ,5,True
TOR,2,MTL,3,True
WPG,5,OTT,1,False
CAR,5,NYI,2,False
ARI,0,DAL,4,True
CHI,5,STL,3,False
LAK,3,NSH,5,True
COL,2,SEA,1,False
EDM,4,VAN,2,False
WSH,2,VGK,6,True
PIT,1,NJD,2,True
LAK,2,CHI,1,False
SJS,0,BOS,4,True
WPG,5,PHI,3,False
VGK,1,ARI,4,True
FLA,2,NYR,6,True
NYI,2,TOR,5,True
BUF,3,DAL,2,False
CBJ,3,CGY,4,True
BOS,4,MTL,2,False
FLA,6,PIT,7,True
LAK,4,PHI,3,False
MIN,2,TBL,4,True
SJS,2,DET,3,True
VGK,2,NJD,3,True
BUF,5,STL,3,False
WPG,1,NSH,2,True
ANA,5,ARI,2,False
WSH,2,COL,3,True
CHI,2,VAN,5,True
NYI,1,OTT,2,True
NYR,2,TOR,3,True
CAR,3,DAL,2,False
CBJ,3,EDM,2,False
VAN,1,SEA,6,True
BOS,2,TBL,3,True
DET,4,MTL,3,False
PIT,2,WSH,3,True
BUF,3,WPG,2,False
NJD,4,NSH,6,True
PHI,2,MIN,3,True
ANA,5,COL,3,False
CHI,5,CGY,1,False
STL,0,ARI,5,True
DET,0,NYI,2,True
LAK,4,FLA,3,False
OTT,6,TOR,2,False
SJS,4,CAR,5,True
VGK,1,NYR,4,True
NJD,3,DAL,2,False
CGY,5,SEA,2,False
CBJ,2,VAN,5,True
STL,2,COL,4,True
BOS,3,FLA,4,True
LAK,2,TBL,5,True
MTL,0,OTT,5,True
PHI,4,WPG,0,False
SJS,6,PIT,4,False
VGK,1,NYI,2,True
BUF,2,MIN,3,True
CHI,3,EDM,7,True
CBJ,1,SEA,3,True
ARI,1,ANA,2,True
BOS,1,CAR,4,True
WSH,1,TOR,5,True
STL,2,WPG,4,True
LAK,4,CAR,5,True
OTT,5,MTL,4,False
WSH,4,CBJ,3,False
CAR,5,BUF,1,False
BOS,5,TOR,2,False
NYI,2,PHI,1,False
TBL,1,FLA,7,True
CGY,4,NYR,5,True
VAN,4,NJD,5,True
ANA,2,DAL,3,True
MIN,2,ARI,3,True
COL,1,PIT,2,True
SJS,4,TBL,3,False
EDM,5,DET,2,False
SEA,0,NYI,4,True
VGK,5,NSH,1,False
ANA,3,CHI,2,False
VAN,3,NYR,4,True
MIN,1,DAL,4,True
